ticker,data,ano_mes_carteira,beta,indicator_rank,tercile
LPSB3,202207,202207,1.0765640196236284,91.0,2
ENAT3,202207,202207,1.0810689294082192,92.0,2
VIVA3,202207,202207,1.0895190618524884,93.0,2
HAPV3,202207,202207,1.0920393369409749,94.0,2
CMIG4,202207,202207,1.1104512987480442,95.0,2
MGLU3,202207,202207,1.1256356741782112,96.0,2
PETR4,202207,202207,1.145362969146951,97.0,2
TCSA3,202207,202207,1.1483115058221536,98.0,2
MTRE3,202207,202207,1.1531765507895753,99.0,2
SQIA3,202207,202207,1.1538611026417596,100.0,2
LREN3,202207,202207,1.1621622880660043,101.0,3
GFSA3,202207,202207,1.1712111029765973,102.0,3
MRVE3,202207,202207,1.1752485667844308,103.0,3
SULA11,202207,202207,1.182444351529192,104.0,3
ZAMP3,202207,202207,1.183141850614146,105.0,3
NATU3,202207,202207,1.1839301698603362,106.0,3
ITSA4,202207,202207,1.1872683204879737,107.0,3
SEER3,202207,202207,1.1920798053541737,108.0,3
ALOS3,202207,202207,1.1939974519201242,109.0,3
TRIS3,202207,202207,1.2024895832868414,110.0,3
CSAN3,202207,202207,1.2036344013282974,111.0,3
CEAB3,202207,202207,1.213896063913266,112.0,3
EZTC3,202207,202207,1.2213544189241992,113.0,3
B3SA3,202207,202207,1.2390625922937542,114.0,3
LIGT3,202207,202207,1.2407668404130028,115.0,3
VALE3,202207,202207,1.2482860299031373,116.0,3
BRAP4,202207,202207,1.2902192854436043,117.0,3
SIMH3,202207,202207,1.3002820280691652,118.0,3
VLID3,202207,202207,1.3176597742780036,119.0,3
TGMA3,202207,202207,1.32587555870067,120.0,3
BRFS3,202207,202207,1.3689321946251511,121.0,3
UNIP6,202207,202207,1.4040292075099872,122.0,3
DEXP3,202207,202207,1.411353715440001,123.0,3
ECOR3,202207,202207,1.4261251282150005,124.0,3
STBP3,202207,202207,1.4507836776275216,125.0,3
SBFG3,202207,202207,1.461192123346487,126.0,3
JHSF3,202207,202207,1.4659266471117651,127.0,3
COGN3,202207,202207,1.4905541817536836,128.0,3
CYRE3,202207,202207,1.510194297563229,129.0,3
HBOR3,202207,202207,1.541939660348505,130.0,3
YDUQ3,202207,202207,1.544592850039736,131.0,3
TASA4,202207,202207,1.562012768917875,132.0,3
CSNA3,202207,202207,1.563223187250961,133.0,3
PRIO3,202207,202207,1.5721437696560403,134.0,3
EVEN3,202207,202207,1.5809155197522138,135.0,3
NEXP3,202207,202207,1.6008354755025656,136.0,3
RIAA3,202207,202207,1.6108954904034736,137.0,3
BHIA3,202207,202207,1.6646540722575194,138.0,3
MDNE3,202207,202207,1.6737599429843106,139.0,3
