ticker,data,ano_mes_carteira,illiquidity,indicator_rank,tercile
BEEF3,202506,202506,0.0037743255459967,107.0,2
ALUP11,202506,202506,0.003609468108571,108.0,2
CMIN3,202506,202506,0.0036085172174754,109.0,2
GGPS3,202506,202506,0.0035412098756466,110.0,2
IRBR3,202506,202506,0.0034664438595926,111.0,2
CURY3,202506,202506,0.0034142681105865,112.0,2
CSMG3,202506,202506,0.0033478351596049,113.0,2
MRVE3,202506,202506,0.0028801790865979,114.0,2
FLRY3,202506,202506,0.0027833927383438,115.0,2
SMFT3,202506,202506,0.0026944700840314,116.0,2
POMO4,202506,202506,0.0025085698548565,117.0,3
AZZA3,202506,202506,0.0024799354324319,118.0,3
DIRR3,202506,202506,0.0023997480927904,119.0,3
SLCE3,202506,202506,0.0023531131225786,120.0,3
USIM5,202506,202506,0.0022825316734108,121.0,3
IGTI11,202506,202506,0.0022738102390907,122.0,3
VIVA3,202506,202506,0.0022429636210731,123.0,3
AURE3,202506,202506,0.0021427665635019,124.0,3
CXSE3,202506,202506,0.0019628282669073,125.0,3
MBRF3,202506,202506,0.0019329157437581,126.0,3
CSNA3,202506,202506,0.0018080444123373,127.0,3
NATU3,202506,202506,0.0015284718474051,128.0,3
HYPE3,202506,202506,0.0015064783571129,129.0,3
CPFE3,202506,202506,0.0015027028460923,130.0,3
GOAU4,202506,202506,0.0014806437083639,131.0,3
EGIE3,202506,202506,0.0014231012524629,132.0,3
UGPA3,202506,202506,0.0013872286539116,133.0,3
PSSA3,202506,202506,0.001337810343048,134.0,3
BRAV3,202506,202506,0.0013237838984617,135.0,3
TOTS3,202506,202506,0.0013209428934079,136.0,3
ISAE4,202506,202506,0.0012717979016659,137.0,3
ENEV3,202506,202506,0.0012278952319641,138.0,3
CYRE3,202506,202506,0.0012250230907634,139.0,3
MOTV3,202506,202506,0.0011982262975885,140.0,3
MGLU3,202506,202506,0.0011908183390971,141.0,3
CSAN3,202506,202506,0.0011538093548357,142.0,3
MULT3,202506,202506,0.0011368160625868,143.0,3
ALOS3,202506,202506,0.0011199722050902,144.0,3
TAEE11,202506,202506,0.0011162456346361,145.0,3
STBP3,202506,202506,0.0010770085474209,146.0,3
ENGI11,202506,202506,0.0009876737268032,147.0,3
HAPV3,202506,202506,0.0009849687558798,148.0,3
BRFS3,202506,202506,0.0009832997925194,149.0,3
VIVT3,202506,202506,0.0009043202330359,150.0,3
KLBN11,202506,202506,0.0008490865536183,151.0,3
RDOR3,202506,202506,0.0008022683358853,152.0,3
LREN3,202506,202506,0.0007944232093714,153.0,3
RADL3,202506,202506,0.0007419556617841,154.0,3
VBBR3,202506,202506,0.0007389655171677,155.0,3
CMIG4,202506,202506,0.0007292226156932,156.0,3
CPLE6,202506,202506,0.0006297625124482,157.0,3
RAIL3,202506,202506,0.0005792536612929,158.0,3
GGBR4,202506,202506,0.0005692663626003,159.0,3
JBSS3,202506,202506,0.0005233385972561,160.0,3
EMBJ3,202506,202506,0.0005118503888257,161.0,3
RENT3,202506,202506,0.0004793189173308,162.0,3
BBSE3,202506,202506,0.0004373093082502,163.0,3
EQTL3,202506,202506,0.00040706216341,164.0,3
PRIO3,202506,202506,0.0003611064439918,165.0,3
AXIA3,202506,202506,0.00033202884066,166.0,3
ITSA4,202506,202506,0.0003305892740235,167.0,3
WEGE3,202506,202506,0.0003246469629011,168.0,3
SBSP3,202506,202506,0.0003163782493171,169.0,3
B3SA3,202506,202506,0.0002744144194589,170.0,3
SUZB3,202506,202506,0.0002619323235415,171.0,3
ABEV3,202506,202506,0.0002188558616441,172.0,3
VALE3,202506,202506,7.419312386959533e-05,173.0,3
PETR4,202506,202506,7.096557062021199e-05,174.0,3
ENJU3,202507,202507,0.2334778848895498,1.0,1
SEQL3,202507,202507,0.1896339480398647,2.0,1
CSUD3,202507,202507,0.1846394492240274,3.0,1
HBOR3,202507,202507,0.180732527974965,4.0,1
ETER3,202507,202507,0.1783593488235738,5.0,1
AERI3,202507,202507,0.1653834520400069,6.0,1
HBRE3,202507,202507,0.1565686812275785,7.0,1
PTBL3,202507,202507,0.1342914535996119,8.0,1
VITT3,202507,202507,0.1335981000147155,9.0,1
PFRM3,202507,202507,0.1303186780280887,10.0,1
CSED3,202507,202507,0.1295897676170562,11.0,1
ZAMP3,202507,202507,0.121590887683415,12.0,1
DASA3,202507,202507,0.1187487369286491,13.0,1
MATD3,202507,202507,0.1164465405343158,14.0,1
MELK3,202507,202507,0.1109788701294922,15.0,1
MLAS3,202507,202507,0.1028939157409526,16.0,1
VVEO3,202507,202507,0.0960933994021453,17.0,1
AZEV4,202507,202507,0.0924834611450419,18.0,1
DESK3,202507,202507,0.0863215054952635,19.0,1
MTRE3,202507,202507,0.0850619883464153,20.0,1
SEER3,202507,202507,0.0838138751526749,21.0,1
ROMI3,202507,202507,0.0828083043667698,22.0,1
FIQE3,202507,202507,0.0817068321851789,23.0,1
LIGT3,202507,202507,0.0803584976310686,24.0,1
PGMN3,202507,202507,0.0766759599861383,25.0,1
JSLG3,202507,202507,0.0729286222131247,26.0,1
BLAU3,202507,202507,0.0670135672836655,27.0,1
OPCT3,202507,202507,0.0635989227001002,28.0,1
TASA4,202507,202507,0.0553733995934922,29.0,1
ARML3,202507,202507,0.053215854050379,30.0,1
TFCO4,202507,202507,0.052772224421802,31.0,1
SHUL4,202507,202507,0.0526118892316997,32.0,1
TRIS3,202507,202507,0.0517993003648904,33.0,1
WIZC3,202507,202507,0.0513922474454032,34.0,1
JALL3,202507,202507,0.0495801066043746,35.0,1
SYNE3,202507,202507,0.0490900018547257,36.0,1
CASH3,202507,202507,0.0482839505765851,37.0,1
GFSA3,202507,202507,0.0426298865530104,38.0,1
QUAL3,202507,202507,0.0420908387999078,39.0,1
PNVL3,202507,202507,0.0390528185913366,40.0,1
PRNR3,202507,202507,0.0381136047606859,41.0,1
BMOB3,202507,202507,0.0379972015309679,42.0,1
FESA4,202507,202507,0.0324445005090158,43.0,1
AURA33,202507,202507,0.0316360875886754,44.0,1
POSI3,202507,202507,0.0305607258113266,45.0,1
CAML3,202507,202507,0.0303955850594169,46.0,1
RIAA3,202507,202507,0.0292229506540258,47.0,1
LJQQ3,202507,202507,0.0288889247258216,48.0,1
