ticker,data,ano_mes_carteira,returns,indicator_rank,tercile
PRML3,201111,201111,-0.5490410230699669,99.0,3
LUPA3,201111,201111,-0.5631578947328342,100.0,3
GOLL54,201111,201111,-0.6236493009930121,101.0,3
HYPE3,201111,201111,-0.6722887977110094,102.0,3
ENEV3,201112,201112,0.5316816420878623,1.0,1
RDCD3,201112,201112,0.4713965376459548,2.0,1
CIEL3,201112,201112,0.4473381473950641,3.0,1
HGTX3,201112,201112,0.4409874114144807,4.0,1
COCE5,201112,201112,0.4011313068456177,5.0,1
VIVT4,201112,201112,0.349165973795847,6.0,1
TIMS3,201112,201112,0.3358665225358588,7.0,1
JHSF3,201112,201112,0.3330765762053373,8.0,1
BRFS3,201112,201112,0.3243002801427905,9.0,1
FFTL4,201112,201112,0.2848390906868703,10.0,1
CRUZ3,201112,201112,0.2322684357322675,11.0,1
CSMG3,201112,201112,0.1900986494078191,12.0,1
AMBV4,201112,201112,0.1773132565938866,13.0,1
ELPL4,201112,201112,0.174914543530444,14.0,1
VLID3,201112,201112,0.1553165286247986,15.0,1
CMIG4,201112,201112,0.1362570305937966,16.0,1
CPFE3,201112,201112,0.1311913185890274,17.0,1
KLBN4,201112,201112,0.1259491399323002,18.0,1
EQTL3,201112,201112,0.1257864488911722,19.0,1
LIGT3,201112,201112,0.1200203850564465,20.0,1
EZTC3,201112,201112,0.1177239842809922,21.0,1
ABEV3,201112,201112,0.1115709886746791,22.0,1
POMO4,201112,201112,0.1015481403631881,23.0,1
SAUD3,201112,201112,0.0975412627709284,24.0,1
BRML3,201112,201112,0.0957273832455172,25.0,1
GETI4,201112,201112,0.0911985162725681,26.0,1
EGIE3,201112,201112,0.0521449486966714,27.0,1
MOTV3,201112,201112,0.0477489953044871,28.0,1
MYPK3,201112,201112,0.0389536711698446,29.0,1
EMBJ3,201112,201112,0.0250394813371146,30.0,1
LAME4,201112,201112,0.0206478350058982,31.0,1
OIBR4,201112,201112,0.0048601697565486,32.0,1
ISAE4,201112,201112,0.0014063251627578,33.0,1
TMAR5,201112,201112,0.0013514988015486,34.0,1
ENBR3,201112,201112,-0.0055459649855111,35.0,2
CSAN3,201112,201112,-0.00883628435183,36.0,2
AMIL3,201112,201112,-0.0182722005102203,37.0,2
RENT3,201112,201112,-0.0205921389027398,38.0,2
ARTR3,201112,201112,-0.0277843133267466,39.0,2
AMAR3,201112,201112,-0.028770854622936,40.0,2
MULT3,201112,201112,-0.042152558735151,41.0,2
PCAR4,201112,201112,-0.0453853388339308,42.0,2
LREN3,201112,201112,-0.0460371831082692,43.0,2
TAMM4,201112,201112,-0.0868220142691253,44.0,2
RAPT4,201112,201112,-0.0912080309252081,45.0,2
VALE5,201112,201112,-0.0994445935264769,46.0,2
CNFB4,201112,201112,-0.1016325663471093,47.0,2
WEGE3,201112,201112,-0.1039592543644012,48.0,2
CPLE6,201112,201112,-0.137053645464516,49.0,2
TOTS3,201112,201112,-0.147016686158231,50.0,2
ITSA4,201112,201112,-0.1573078479000309,51.0,2
BRAP4,201112,201112,-0.172948703794558,52.0,2
PMAM3,201112,201112,-0.18535836694016,53.0,2
B3SA3,201112,201112,-0.1857759644071051,54.0,2
IGTA3,201112,201112,-0.192248822263841,55.0,2
PRML3,201112,201112,-0.1923890063448365,56.0,2
AXIA3,201112,201112,-0.1938850916956673,57.0,2
NETC4,201112,201112,-0.1950464396387616,58.0,2
PETR4,201112,201112,-0.1970836077019585,59.0,2
BISA3,201112,201112,-0.2134751408118564,60.0,2
TNLP4,201112,201112,-0.2142445676939789,61.0,2
MRVE3,201112,201112,-0.2153280757965245,62.0,2
SLCE3,201112,201112,-0.2174752032730623,63.0,2
BRKM5,201112,201112,-0.2205335030096068,64.0,2
SMTO3,201112,201112,-0.221308858848212,65.0,2
FESA4,201112,201112,-0.2271636561747271,66.0,2
EVEN3,201112,201112,-0.2342208614854939,67.0,2
PDGR3,201112,201112,-0.241791525859866,68.0,2
RSID3,201112,201112,-0.2506225171332158,69.0,3
NEXP3,201112,201112,-0.2577287962621839,70.0,3
GOAU4,201112,201112,-0.2613036401734612,71.0,3
NATU3,201112,201112,-0.2664894185923043,72.0,3
JBSS3,201112,201112,-0.2803347280317867,73.0,3
BEEF3,201112,201112,-0.2808204149378598,74.0,3
KEPL3,201112,201112,-0.2857142857338939,75.0,3
OGXP3,201112,201112,-0.29,76.0,3
SULA11,201112,201112,-0.2981493479184974,77.0,3
CYRE3,201112,201112,-0.2987283116480497,78.0,3
GGBR4,201112,201112,-0.3094645232586308,79.0,3
VIVR3,201112,201112,-0.3130434782111193,80.0,3
PSSA3,201112,201112,-0.3178674186263384,81.0,3
MMXM3,201112,201112,-0.3312555654336802,82.0,3
PLAS3,201112,201112,-0.345205479469036,83.0,3
DXCO3,201112,201112,-0.3665637818185344,84.0,3
CSNA3,201112,201112,-0.3706831555891628,85.0,3
USIM5,201112,201112,-0.3795891930340324,86.0,3
