ano,empresa,ticker,total_volume_negociado,flag_trading_days,menor_data,pat_liq,market_cap
2017,LEVE,LEVE3,1441350.047,1.0,1.0,1360161.0,2944680.075
2017,LIGT,LIGT3,3662912.0599999996,1.0,1.0,3602022.0,2298336.8562
2017,LINX,LINX3,1723214.6169999999,1.0,1.0,697117.0,2274851.1496
2017,LREN,LREN3,18642790.038999997,1.0,1.0,2297204.0,15196803.34
2017,MBRF,MBRF3,4111882.7180000003,1.0,1.0,1534992.0,2928380.2645
2017,MDIA,MDIA3,3753642.317,1.0,1.0,3935878.0,11966700.0
2017,MEAL,MEAL3,431082.283,1.0,1.0,1093027.0,662787.22172
2017,MGLU,MGLU3,1841860.1039999998,1.0,1.0,674735.0,831366.4205
2017,MOTV,MOTV3,18382716.803000003,1.0,1.0,3356917.0,29661864.96
2017,MPLU,MPLU3,3313628.879,1.0,1.0,261275.0,5856279.4668
2017,MRVE,MRVE3,7894313.108,1.0,1.0,5020388.0,4769015.27
2017,MULT,MULT3,9824765.112,1.0,1.0,4276235.0,11339850.031
2017,MYPK,MYPK3,1831399.9870000002,1.0,1.0,1792842.0,1295978.9
2017,NATU,NATU3,8811420.31,1.0,1.0,792514.0,10972242.0
2017,OIBR,OIBR4,3889178.368,1.0,1.0,10432522.0,1219324.2
2017,PCAR,PCAR4,12152048.494,1.0,1.0,10110000.0,12401084.61
2017,PDGR,PDGR3,876899.006,1.0,1.0,784522.0,121504.24
2017,PETR,PETR4,153177683.371,1.0,1.0,271395000.0,138433890.6
2017,POMO,POMO4,2239834.597,1.0,1.0,1715908.0,2024527.6862
2017,PRML,PRML3,423049.51100000006,1.0,1.0,2778743.0,1774803.33
2017,PSSA,PSSA3,4136638.649,1.0,1.0,6759365.0,8648087.75
2017,QUAL,QUAL3,8808737.716,1.0,1.0,2082976.0,5044494.0613
2017,RADL,RADL3,16639787.268999998,1.0,1.0,2742858.0,20794332.75
2017,RAPT,RAPT4,1831824.901,1.0,1.0,1484202.0,999555.23
2017,RENT,RENT3,9107750.191,1.0,1.0,2074211.0,7185453.0
2017,RLOG,RLOG3,523496.63399999996,1.0,1.0,1670838.0,1436661.3665
